date,hour,weekday,weeknum,is_holiday,school_week,exam_week,attendance
2022-01-01,10,5,52,True,,False,658
2022-01-01,11,5,52,True,,False,664
2022-01-01,12,5,52,True,,False,685
2022-01-01,13,5,52,True,,False,668
2022-01-01,14,5,52,True,,False,711
2022-01-01,15,5,52,True,,False,714
2022-01-01,16,5,52,True,,False,706
2022-01-01,17,5,52,True,,False,720
2022-01-01,18,5,52,True,,False,727
2022-01-01,19,5,52,True,,False,763
2022-01-01,20,5,52,True,,False,735
2022-01-01,21,5,52,True,,False,767
2022-01-02,10,6,52,True,,False,692
2022-01-02,11,6,52,True,,False,698
2022-01-02,12,6,52,True,,False,659
2022-01-02,13,6,52,True,,False,703
2022-01-02,14,6,52,True,,False,701
2022-01-02,15,6,52,True,,False,710
2022-01-02,16,6,52,True,,False,712
2022-01-02,17,6,52,True,,False,720
2022-01-02,18,6,52,True,,False,740
2022-01-02,19,6,52,True,,False,760
2022-01-02,20,6,52,True,,False,763
2022-01-02,21,6,52,True,,False,769
2022-01-03,10,0,1,True,,False,805
2022-01-03,11,0,1,True,,False,809
2022-01-03,12,0,1,True,,False,834
2022-01-03,13,0,1,True,,False,828
2022-01-03,14,0,1,True,,False,869
2022-01-03,15,0,1,True,,False,860
2022-01-03,16,0,1,True,,False,891
2022-01-03,17,0,1,True,,False,895
2022-01-03,18,0,1,True,,False,866
2022-01-03,19,0,1,True,,False,906
2022-01-03,20,0,1,True,,False,913
2022-01-03,21,0,1,True,,False,927
2022-01-04,10,1,1,True,,False,831
2022-01-04,11,1,1,True,,False,802
2022-01-04,12,1,1,True,,False,824
2022-01-04,13,1,1,True,,False,845
2022-01-04,14,1,1,True,,False,846
2022-01-04,15,1,1,True,,False,869
2022-01-04,16,1,1,True,,False,866
2022-01-04,17,1,1,True,,False,859
2022-01-04,18,1,1,True,,False,878
2022-01-04,19,1,1,True,,False,901
2022-01-04,20,1,1,True,,False,935
2022-01-04,21,1,1,True,,False,940
2022-01-05,10,2,1,True,,False,817
2022-01-05,11,2,1,True,,False,838
2022-01-05,12,2,1,True,,False,814
2022-01-05,13,2,1,True,,False,854
2022-01-05,14,2,1,True,,False,850
2022-01-05,15,2,1,True,,False,841
2022-01-05,16,2,1,True,,False,880
2022-01-05,17,2,1,True,,False,909
2022-01-05,18,2,1,True,,False,907
2022-01-05,19,2,1,True,,False,891
2022-01-05,20,2,1,True,,False,939
2022-01-05,21,2,1,True,,False,942
2022-01-06,10,3,1,True,,False,826
2022-01-06,11,3,1,True,,False,832
2022-01-06,12,3,1,True,,False,862
2022-01-06,13,3,1,True,,False,834
2022-01-06,14,3,1,True,,False,861
